name,inducted,category,inducted_by,description
Depeche Mode,2020,Performer,Charlize Theron,"Known for their dark, industrial love songs for the modern era, Depeche Mode earned a massive following by pushing sonic and lyrical boundaries with new synthesizer technology and captivating live performances."
Irving Azoff,2020,Ahmet Ertegun Award,Don Henley,"A hardworking pioneer in the music industry, Azoff is often cited as the ultimate rock manager and has brought many successful bands to light in the past decades."
Jon Landau,2020,Ahmet Ertegun Award,Bruce Springsteen,"Starting as a pioneer rock journalist in the mid-Sixties, Landau contributed to the earliest rock publications, including Crawdaddy! The Phoenix and Rolling Stone. Later, Landau became a long-time co-producer and manager of Springsteen."
Nine Inch Nails,2020,Performer,Iggy Pop,"NIN juxtaposes the brutal and delicate, chaos and order, nihilistic despair and spiritual rapture."
T. Rex,2020,Performer,"Ringo Starr, Joan Jett, & Billy Idol",T. Rex was a rock and roll comet that graced Earth and left behind a new rock style that inspired generations of musicians.
The Doobie Brothers,2020,Performer,Luke Bryan,"With their hard-rocking rhythms, dual drummer power, and tight three-part vocal harmonies, The Doobie Brothers have been a mainstay in the rock & roll landscape for nearly five decades."
The Notorious B.I.G.,2020,Performer,Diddy,"Biggie Smalls aka The Notorious B.I.G. prophesied his short but impactful career with albums Ready to Die and Life After Death - two of hip-hop's most influential albums."
Whitney Houston,2020,Performer,N/A,"Celebrated as the “greatest singer of her generation,” Whitney Houston’s accomplishments in music were unparalleled."
Billy Preston,2021,Musical Excellence,Ringo Starr,"Billy Preston is an essential part of the fabric of rock & roll. He blazed a path with the smoking sounds of his B3 organ, the funky rhythms of his clavinet, and the exciting tones of his gospel-inspired vocals and piano."
Carole King,2021,Performer,Taylor Swift,"After writing the soundtrack of the 60s, Carole King wove a tapestry of introspection as a Laurel Canyon singer-songwriter in the 70s."
Charley Patton,2021,Musical Influence,"Gary Clark, Jr.","Before Jimi Hendrix mastered the guitar, before Chuck Berry pioneered rock & roll, before Robert Johnson strummed a single chord – Charley Patton did it all."
Clarence Avant,2021,Ahmet Ertegun Award,Lionel Richie,"Known as the Godfather of Black Music, Clarence Avant is someone who makes the impossible possible"
Foo Fighters,2021,Performer,Paul McCartney,"Foo Fighters carry the torch of rock authenticity with infectious hooks, in-your-face guitar riffs, monster drums, and boundless energy."
